OriginalAddress,AddressNumber,StreetName,StreetNamePostType,IntersectionSeparator,SecondStreetName,StreetNamePostDirectional,Recipient,StreetNamePreType,Unable to parse,OccupancyIdentifier,AddressNumberSuffix,StreetNamePreDirectional
144X MINNEHAHA AV E,144X,MINNEHAHA,AV,,,E,,,,,,
216X FALCON AV ,216X,FALCON,AV,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
180X SUBURBAN AV ,180X,SUBURBAN,AV,,,,,,,,,
142X PACIFIC ST ,142X,PACIFIC,ST,,,,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
178X OLDHUDSON RD ,178X,OLDHUDSON,RD,,,,,,,,,
218X UPPERAFTON RD ,218X,UPPERAFTON,RD,,,,,,,,,
173X CONWAY ST ,173X,CONWAY,ST,,,,,,,,,
202X CONWAY ST ,202X,CONWAY,ST,,,,,,,,,
17X MCKNIGHT RD N,17X,MCKNIGHT,RD,,,N,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
191X SUBURBAN AV ,191X,SUBURBAN,AV,,,,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
212X NORTHPARK DR ,212X,NORTHPARK,DR,,,,,,,,,
23X MCKNIGHT RD S,23X,MCKNIGHT,RD,,,S,,,,,,
BARCLAY ST  & MCLEAN,,BARCLAY,ST,&,MCLEAN,,,,,,,
41X VANDYKE ST ,41X,VANDYKE,ST,,,,,,,,,
X BATTLECREEK RD ,X,BATTLECREEK,RD,,,,,,,,,
222X GLENRIDGE AV ,222X,GLENRIDGE,AV,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
3X MCKNIGHT RD N,3X,MCKNIGHT,RD,,,N,,,,,,
165X 5 ST E,165X,5,ST,,,E,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
210X MARGARET ST ,210X,MARGARET,ST,,,,,,,,,
199X MINNEHAHA AV E,199X,MINNEHAHA,AV,,,E,,,,,,
170X BEECH ST ,170X,BEECH,ST,,,,,,,,,
193X BURNS AV ,193X,BURNS,AV,,,,,,,,,
197X BURNS AV ,197X,BURNS,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
216X EDGEBROOK AV ,216X,EDGEBROOK,AV,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
149X 6 ST E,149X,6,ST,,,E,,,,,,
149X 6 ST E,149X,6,ST,,,E,,,,,,
200X BURNS AV ,200X,BURNS,AV,,,,,,,,,
223X HILLSDALE AV ,223X,HILLSDALE,AV,,,,,,,,,
44X JAYNE ST ,44X,JAYNE,ST,,,,,,,,,
217X EDGEBROOK AV ,217X,EDGEBROOK,AV,,,,,,,,,
31X HAZELWOOD ST ,31X,HAZELWOOD,ST,,,,,,,,,
151X PACIFIC ST ,151X,PACIFIC,ST,,,,,,,,,
29X BIRMINGHAM ST ,29X,BIRMINGHAM,ST,,,,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
167X 5 ST E,167X,5,ST,,,E,,,,,,
204X OAKRIDGE ST ,204X,OAKRIDGE,ST,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
175X CONWAY ST ,175X,CONWAY,ST,,,,,,,,,
220X BURNS AV ,220X,BURNS,AV,,,,,,,,,
156X MINNEHAHA AV E,156X,MINNEHAHA,AV,,,E,,,,,,
150X MARGARET ST ,150X,MARGARET,ST,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
39X LUELLA ST ,39X,LUELLA,ST,,,,,,,,,
191X BURNS AV ,191X,BURNS,AV,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
6 ST E & MCKNIGHT,,6,ST,&,MCKNIGHT,E,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
224X GLENRIDGE AV ,224X,GLENRIDGE,AV,,,,,,,,,
39X LUELLA ST ,39X,LUELLA,ST,,,,,,,,,
224X OLDHUDSON RD ,224X,OLDHUDSON,RD,,,,,,,,,
197X WILSON AV ,197X,WILSON,AV,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
7X WINTHROP ST S,7X,WINTHROP,ST,,,S,,,,,,
214X OLDHUDSON RD ,214X,OLDHUDSON,RD,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
223X LOWERAFTON RD ,223X,LOWERAFTON,RD,,,,,,,,,
42X HAZEL ST N,42X,HAZEL,ST,,,N,,,,,,
198X SUBURBAN AV ,198X,SUBURBAN,AV,,,,,,,,,
198X SUBURBAN AV ,198X,SUBURBAN,AV,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
193X BURNS AV ,193X,BURNS,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
40X LUELLA ST ,40X,LUELLA,ST,,,,,,,,,
7X WINTHROP ST S,7X,WINTHROP,ST,,,S,,,,,,
7X WINTHROP ST S,7X,WINTHROP,ST,,,S,,,,,,
40X LUELLA ST ,40X,LUELLA,ST,,,,,,,,,
184X OLDHUDSON RD ,184X,OLDHUDSON,RD,,,,,,,,,
30X BIRMINGHAM ST ,30X,BIRMINGHAM,ST,,,,,,,,,
36X WINTHROP ST S,36X,WINTHROP,ST,,,S,,,,,,
160X MARGARET ST ,160X,MARGARET,ST,,,,,,,,,
142X PACIFIC ST ,142X,PACIFIC,ST,,,,,,,,,
40X LUELLA ST ,40X,LUELLA,ST,,,,,,,,,
18X MCKNIGHT RD N,18X,MCKNIGHT,RD,,,N,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
221X GLENRIDGE AV ,221X,GLENRIDGE,AV,,,,,,,,,
205X NORTHPARK DR ,205X,NORTHPARK,DR,,,,,,,,,
223X LOWERAFTON RD ,223X,LOWERAFTON,RD,,,,,,,,,
OLDHUDSON RD  & WHITEBEAR,,OLDHUDSON,RD,&,WHITEBEAR,,,,,,,
211X SUBURBAN AV ,211X,SUBURBAN,AV,,,,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
197X BURNS AV ,197X,BURNS,AV,,,,,,,,,
210X OLDHUDSON RD ,210X,OLDHUDSON,RD,,,,,,,,,
25X BIRMINGHAM ST ,25X,BIRMINGHAM,ST,,,,,,,,,
222X CONWAY ST ,222X,CONWAY,ST,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
224X OLDHUDSON RD ,224X,OLDHUDSON,RD,,,,,,,,,
219X UPPERAFTON RD ,219X,UPPERAFTON,RD,,,,,,,,,
21X KIPLING ST ,21X,KIPLING,ST,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
153X BURNS AV ,153X,BURNS,AV,,,,,,,,,
213X CONWAY ST ,213X,CONWAY,ST,,,,,,,,,
161X OLDHUDSON RD ,161X,OLDHUDSON,RD,,,,,,,,,
194X WILSON AV ,194X,WILSON,AV,,,,,,,,,
147X OLDHUDSON RD ,147X,OLDHUDSON,RD,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
X SANDRALEE DR W,X,SANDRALEE,DR,,,W,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
193X WILSON AV ,193X,WILSON,AV,,,,,,,,,
I94 FW E & WHITEBEAR,I94,E,,&,WHITEBEAR,,,FW,,,,
203X WILSON AV ,203X,WILSON,AV,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
40X LUELLA ST ,40X,LUELLA,ST,,,,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
47X HAZEL ST N,47X,HAZEL,ST,,,N,,,,,,
47X HAZEL ST N,47X,HAZEL,ST,,,N,,,,,,
47X HAZEL ST N,47X,HAZEL,ST,,,N,,,,,,
30X RUTH ST ,30X,RUTH,ST,,,,,,,,,
186X WILSON AV ,186X,WILSON,AV,,,,,,,,,
189X MARGARET ST ,189X,MARGARET,ST,,,,,,,,,
166X BEECH ST ,166X,BEECH,ST,,,,,,,,,
163X CONWAY ST ,163X,CONWAY,ST,,,,,,,,,
17X BRIDLEWOOD DR ,17X,BRIDLEWOOD,DR,,,,,,,,,
48X HAZEL ST N,48X,HAZEL,ST,,,N,,,,,,
VANDYKE ST  & WILSON,,VANDYKE,ST,&,WILSON,,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
148X MARGARET ST ,148X,MARGARET,ST,,,,,,,,,
203X WILSON AV ,203X,WILSON,AV,,,,,,,,,
214X OLDHUDSON RD ,214X,OLDHUDSON,RD,,,,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
171X FREMONT AV ,171X,FREMONT,AV,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
204X WILSON AV ,204X,WILSON,AV,,,,,,,,,
175X EUCLID ST ,175X,EUCLID,ST,,,,,,,,,
224X GLENRIDGE AV ,224X,GLENRIDGE,AV,,,,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
153X PACIFIC ST ,153X,PACIFIC,ST,,,,,,,,,
6 ST E & HAZELWOOD,,6,ST,&,HAZELWOOD,E,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
18X WHITEBEAR AV N,18X,WHITEBEAR,AV,,,N,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
169X SUBURBAN AV ,169X,SUBURBAN,AV,,,,,,,,,
149X DORA LA ,,,,,,,149X DORA LA,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
24X SIGURD ST ,24X,SIGURD,ST,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
18X MCKNIGHT RD N,18X,MCKNIGHT,RD,,,N,,,,,,
17X MCKNIGHT RD N,17X,MCKNIGHT,RD,,,N,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
223X GLENRIDGE AV ,223X,GLENRIDGE,AV,,,,,,,,,
146X FREMONT AV ,146X,FREMONT,AV,,,,,,,,,
145X FREMONT AV ,145X,FREMONT,AV,,,,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
203X 4 ST E,203X,4,ST,,,E,,,,,,
223X GLENRIDGE AV ,223X,GLENRIDGE,AV,,,,,,,,,
197X 5 ST E,197X,5,ST,,,E,,,,,,
150X 6 ST E,150X,6,ST,,,E,,,,,,
196X 4 ST E,196X,4,ST,,,E,,,,,,
196X FREMONT AV ,196X,FREMONT,AV,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
212X NORTHPARK DR ,212X,NORTHPARK,DR,,,,,,,,,
199X BURNS AV ,199X,BURNS,AV,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
17X MCKNIGHT RD N,17X,MCKNIGHT,RD,,,N,,,,,,
223X GLENRIDGE AV ,223X,GLENRIDGE,AV,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
28X HAZELWOOD ST ,28X,HAZELWOOD,ST,,,,,,,,,
161X 5 ST E,161X,5,ST,,,E,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
21X KIM PL ,21X,KIM,PL,,,,,,,,,
WHITEBEAR AV N & WILSON,,WHITEBEAR,AV,&,WILSON,N,,,,,,
HAZEL ST N & WILSON,,HAZEL,ST,&,WILSON,N,,,,,,
178X OLDHUDSON RD ,178X,OLDHUDSON,RD,,,,,,,,,
20X WINTHROP ST S,20X,WINTHROP,ST,,,S,,,,,,
169X EUCLID ST ,169X,EUCLID,ST,,,,,,,,,
149X 6 ST E,149X,6,ST,,,E,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
186X WILSON AV ,186X,WILSON,AV,,,,,,,,,
39X LUELLA ST ,39X,LUELLA,ST,,,,,,,,,
218X LONDIN LA ,,,,,,,218X LONDIN LA,,,,,
160X FREMONT AV ,160X,FREMONT,AV,,,,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
4 ST E & GERMAIN,4,ST E,,&,GERMAIN,,,,,,,
210X WILSON AV ,210X,WILSON,AV,,,,,,,,,
212X NORTHPARK DR ,212X,NORTHPARK,DR,,,,,,,,,
213X OLDHUDSON RD ,213X,OLDHUDSON,RD,,,,,,,,,
218X LONDIN LA ,,,,,,,218X LONDIN LA,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
43X VANDYKE ST ,43X,VANDYKE,ST,,,,,,,,,
160X FREMONT AV ,160X,FREMONT,AV,,,,,,,,,
217X HILLSDALE AV ,217X,HILLSDALE,AV,,,,,,,,,
153X PACIFIC ST ,153X,PACIFIC,ST,,,,,,,,,
54X HAZEL ST N,54X,HAZEL,ST,,,N,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
179X MARGARET ST ,179X,MARGARET,ST,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
61 HW  & LOWERAFTON,61,HW,,&,LOWERAFTON,,,,,,,
212X SUBURBAN AV ,212X,SUBURBAN,AV,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
219X GLENRIDGE AV ,219X,GLENRIDGE,AV,,,,,,,,,
215X LONDIN LA ,,,,,,,215X LONDIN LA,,,,,
156X PTDOUGLAS RD S,156X,PTDOUGLAS,RD,,,S,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
172X 6 ST E,172X,6,ST,,,E,,,,,,
178X SUBURBAN AV ,178X,SUBURBAN,AV,,,,,,,,,
171X FREMONT AV ,171X,FREMONT,AV,,,,,,,,,
27X MCKNIGHT RD S,27X,MCKNIGHT,RD,,,S,,,,,,
43X VANDYKE ST ,43X,VANDYKE,ST,,,,,,,,,
175X EUCLID ST ,175X,EUCLID,ST,,,,,,,,,
220X GLENRIDGE AV ,220X,GLENRIDGE,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
221X UPPERAFTON RD ,221X,UPPERAFTON,RD,,,,,,,,,
146X PACIFIC ST ,146X,PACIFIC,ST,,,,,,,,,
29X BIRMINGHAM ST ,29X,BIRMINGHAM,ST,,,,,,,,,
201X MARGARET ST ,201X,MARGARET,ST,,,,,,,,,
201X MARGARET ST ,201X,MARGARET,ST,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
177X LEONE AV ,177X,LEONE,AV,,,,,,,,,
17X BRIDLEWOOD DR ,17X,BRIDLEWOOD,DR,,,,,,,,,
190X WILSON AV ,190X,WILSON,AV,,,,,,,,,
219X 3 ST E,219X,3,ST,,,E,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
57X WHITEBEAR AV N,57X,WHITEBEAR,AV,,,N,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
163X BURNS AV ,163X,BURNS,AV,,,,,,,,,
222X DELLRIDGE AV ,222X,DELLRIDGE,AV,,,,,,,,,
17X MCKNIGHT RD N,17X,MCKNIGHT,RD,,,N,,,,,,
195X SUBURBAN AV ,195X,SUBURBAN,AV,,,,,,,,,
47X VANDYKE ST ,47X,VANDYKE,ST,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
225X GLENRIDGE AV ,225X,GLENRIDGE,AV,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
X RUTH ST ,X,RUTH,ST,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
171X EUCLID ST ,171X,EUCLID,ST,,,,,,,,,
193X OLDHUDSON RD ,193X,OLDHUDSON,RD,,,,,,,,,
155X PTDOUGLAS RD S,155X,PTDOUGLAS,RD,,,S,,,,,,
