PursuitID	Age	Gender	AgeNotes	SubjectType	InjuryType
5358	14	M - Male		Violator	Possible Injury
5372	14	M - Male		Violator	No Injury
5473	14	M - Male		Violator Passengers	No Injury
5512	14	M - Male		Violator	No Injury
5690	14	M - Male		Violator	No Injury
5774	14	M - Male		Violator	No Injury
5774	14	M - Male		Violator Passengers	No Injury
5783	14	M - Male		Violator	No Injury
6242	14	M - Male		Violator Passengers	Unknown
6549	14	M - Male		Violator	No Injury
6656	14	F - Female		Violator Passengers	No Injury
6747	14	M - Male		Violator	No Injury
6799	14	M - Male		Violator Passengers	No Injury
6803	14	M - Male		Violator Passengers	No Injury
6970	14	M - Male		Violator Passengers	No Injury
6977	14	M - Male		Violator	Unknown
6994	14	M - Male		Violator	No Injury
7067	14	M - Male		Violator	No Injury
7132	14	M - Male		Violator	No Injury
7161	14	M - Male		Violator Passengers	No Injury
83	15	Male		Violator	No Injury
95	15	Male		Violator	No Injury
191	15	Male		Violator	No Injury
261	15	Male		Violator	No Injury
325	15	Male		Violator Passengers	No Injury
380	15	Male		Violator	No Injury
436	15	Male		Violator Passengers	No Injury
473	15	Female		Violator Passengers	Non-incapacitating Injury
622	15	Female		Violator Passengers	No Injury
622	15	Male		Violator Passengers	No Injury
627	15	Male		Violator Passengers	No Injury
627	15	Male		Violator Passengers	No Injury
642	15	Male		Violator Passengers	No Injury
646	15	Male		Violator	No Injury
646	15	Male		Violator Passengers	No Injury
669	15	Male		Violator	No Injury
669	15	Male		Violator Passengers	No Injury
671	15	Male		Violator Passengers	No Injury
709	15	Female		Violator Passengers	No Injury
828	15	MALE		Violator	No Injury
855	15	MALE		Violator Passengers	No Injury
858	15	MALE		Violator	No Injury
858	15	MALE		Violator Passengers	No Injury
867	15	MALE		Violator Passengers	No Injury
873	15	MALE		Violator	No Injury
877	15	MALE		Violator	No Injury
877	15	MALE		Violator Passengers	No Injury
887	15	MALE		Violator Passengers	No Injury
887	15	MALE		Violator Passengers	No Injury
889	15	FEMALE		Violator	No Injury
889	15	MALE		Violator Passengers	No Injury
905	15	MALE		Violator	No Injury
943	15	MALE		Violator Passengers	No Injury
956	15	MALE		Violator	No Injury
956	15	FEMALE		Violator Passengers	No Injury
959	15	MALE		Violator Passengers	No Injury
970	15	MALE		Violator	No Injury
1002	15	MALE		Violator Passengers	No Injury
1023	15	MALE		Violator	No Injury
1080	15	MALE		Violator Passengers	No Injury
1084	15	MALE		Violator Passengers	No Injury
1085	15	MALE		Violator	No Injury
1091	15	MALE		Violator	No Injury
1122	15	MALE		Violator	No Injury
1209	15	MALE		Violator	Possible Injury
1221	15	FEMALE		Violator	No Injury
1227	15	MALE		Violator	No Injury
1227	15	MALE		Violator Passengers	No Injury
1262	15	MALE		Violator	Non-incapacitating Injury
1315	15	MALE		Violator	No Injury
1324	15	MALE		Violator Passengers	Non-incapacitating Injury
1338	15	FEMALE		Violator	No Injury
1391	15	MALE		Violator Passengers	No Injury
1408	15	FEMALE		Violator Passengers	No Injury
1441	15	MALE		Violator	No Injury
1441	15	MALE		Violator Passengers	No Injury
1522	15	MALE		Violator Passengers	No Injury
1562	15	MALE		Violator Passengers	No Injury
1562	15	FEMALE		Violator Passengers	No Injury
1572	15	FEMALE		Violator Passengers	No Injury
1631	15	MALE		Violator Passengers	No Injury
1685	15	FEMALE		Violator Passengers	No Injury
1743	15	MALE		Violator	No Injury
1764	15	MALE		Violator Passengers	No Injury
1764	15	MALE		Violator Passengers	No Injury
1766	15	MALE		Violator	No Injury
1767	15	MALE		Violator	No Injury
1767	15	MALE		Violator Passengers	No Injury
1767	15	MALE		Violator Passengers	No Injury
1767	15	MALE		Violator Passengers	No Injury
1770	15	MALE		Violator	No Injury
1770	15	MALE		Violator Passengers	No Injury
1779	15	MALE		Violator Passengers	No Injury
1797	15	MALE		Violator Passengers	No Injury
1816	15	MALE		Violator	No Injury
1839	15	MALE		Violator Passengers	No Injury
1839	15	MALE		Violator Passengers	No Injury
1865	15	MALE		Violator	No Injury
1919	15	MALE		Violator	No Injury
1927	15	MALE		Violator	No Injury
1927	15	MALE		Violator Passengers	No Injury
1927	15	FEMALE		Violator Passengers	No Injury
1939	15	MALE		Violator	No Injury
1940	15	MALE		Violator	No Injury
1940	15	MALE		Violator Passengers	No Injury
1943	15	FEMALE		Violator Passengers	No Injury
1953	15	MALE		Violator	No Injury
2052	15	MALE		Violator	No Injury
2099	15	MALE		Violator	Unknown
2180	15	FEMALE		Party in Unrelated Vehicle	No Injury
2180	15	FEMALE		Unrelated Pedestrian	No Injury
2242	15	Male		Violator Passengers	No Injury
2250	15	Male		Violator Passengers	No Injury
2250	15	Female		Violator Passengers	No Injury
2408	15	Male		Violator	No Injury
2419	15	Female		Violator Passengers	No Injury
2419	15	Female		Violator Passengers	No Injury
2504	15	Female		Violator	No Injury
2517	15	Female		Violator Passengers	No Injury
2548	15	Male		Violator	No Injury
2578	15	Male		Violator	No Injury
2578	15	Male		Violator Passengers	No Injury
2641	15	Male		Violator	Unknown
2714	15	Male		Violator Passengers	No Injury
2788	15	Male		Violator Passengers	No Injury
2903	15	Male		Violator	Non-incapacitating Injury
3018	15	Male		Violator	No Injury
3022	15	Male		Violator	No Injury
3093	15	Male		Violator	No Injury
3108	15	Male		Violator Passengers	No Injury
3117	15	Male		Violator	Unknown
3161	15	Male		Violator Passengers	No Injury
3161	15	Male		Violator Passengers	No Injury
3166	15	Male		Violator Passengers	No Injury
3233	15	Male		Violator	No Injury
3258	15	Male		Violator Passengers	No Injury
3275	15	Female		Violator Passengers	No Injury
3279	15	Male		Violator	No Injury
3310	15	Male		Violator	Non-incapacitating Injury
3358	15	Female		Violator Passengers	No Injury
3388	15	Male		Violator Passengers	Unknown
3428	15	Male		Violator	Non-incapacitating Injury
3428	15	Female		Violator Passengers	Non-incapacitating Injury
3471	15	Female		Violator	No Injury
3484	15	Male		Violator Passengers	Unknown
3506	15	Male		Violator	No Injury
3525	15	Male		Violator Passengers	No Injury
3594	15	Female		Violator Passengers	Non-incapacitating Injury
3628	15	Male		Violator Passengers	No Injury
3665	15	Male		Violator	Possible Injury
3681	15	Male		Violator	No Injury
3752	15	M - Male		Violator	Unknown
3765	15	F - Female		Violator Passengers	No Injury
3843	15	M - Male		Violator	No Injury
3849	15	M - Male		Violator Passengers	Unknown
3890	15	M - Male		Violator	No Injury
3892	15	M - Male		Violator	Incapacitating Injury
3904	15	M - Male		Violator	No Injury
4095	15	M - Male		Violator	No Injury
4095	15	F - Female		Violator Passengers	No Injury
4154	15	M - Male		Violator	No Injury
4196	15	M - Male		Violator Passengers	Non-incapacitating Injury
4275	15	F - Female		Violator Passengers	No Injury
4365	15	M - Male		Violator	No Injury
4380	15	M - Male		Violator	No Injury
4419	15	M - Male		Violator Passengers	No Injury
4505	15	M - Male		Violator	No Injury
4508	15	M - Male		Violator Passengers	No Injury
4527	15	M - Male		Violator	No Injury
4638	15	M - Male		Violator	No Injury
4676	15	M - Male		Violator	No Injury
4681	15	M - Male		Violator Passengers	No Injury
4683	15	F - Female		Violator Passengers	No Injury
4753	15	M - Male		Violator	No Injury
4780	15	M - Male		Violator	No Injury
4780	15	M - Male		Violator Passengers	Possible Injury
4796	15	F - Female		Violator Passengers	Possible Injury
4885	15	F - Female		Violator Passengers	No Injury
4885	15	F - Female		Violator Passengers	No Injury
4885	15	M - Male		Violator Passengers	No Injury
4937	15	M - Male		Violator	No Injury
4939	15	M - Male		Violator	No Injury
4997	15	F - Female		Violator Passengers	Unknown
5017	15	M - Male		Violator	No Injury
5017	15	M - Male		Violator Passengers	No Injury
5117	15	M - Male		Violator	No Injury
5117	15	M - Male		Violator Passengers	No Injury
5117	15	F - Female		Violator Passengers	No Injury
5157	15	M - Male		Violator Passengers	No Injury
5242	15	M - Male		Violator Passengers	No Injury
5242	15	M - Male		Violator Passengers	No Injury
5296	15	M - Male		Violator	No Injury
5355	15	M - Male		Violator Passengers	No Injury
5355	15	M - Male		Violator Passengers	No Injury
5355	15	M - Male		Violator Passengers	No Injury
5362	15	M - Male		Violator Passengers	No Injury
5383	15	M - Male		Violator	Non-incapacitating Injury
5400	15	M - Male		Violator Passengers	Unknown
5427	15	M - Male		Violator	Non-incapacitating Injury
5427	15	M - Male		Violator Passengers	No Injury
5427	15	M - Male		Violator Passengers	No Injury
5427	15	M - Male		Violator Passengers	No Injury
5427	15	F - Female		Violator Passengers	No Injury
5452	15	F - Female		Violator Passengers	No Injury
5478	15	M - Male		Violator	No Injury
5570	15	F - Female		Violator	Possible Injury
5576	15	M - Male		Violator Passengers	Possible Injury
5774	15	M - Male		Violator Passengers	No Injury
5778	15	M - Male		Violator Passengers	No Injury
5849	15	M - Male		Violator	Possible Injury
5882	15	M - Male		Violator Passengers	No Injury
5907	15	F - Female		Violator Passengers	Possible Injury
6012	15	M - Male		Violator Passengers	Possible Injury
6037	15	M - Male		Violator	No Injury
6037	15	M - Male		Violator Passengers	No Injury
6037	15	M - Male		Violator Passengers	No Injury
6057	15	M - Male		Violator Passengers	Unknown
6113	15	M - Male		Violator Passengers	No Injury
6134	15	M - Male		Violator	No Injury
6148	15	M - Male		Violator	No Injury
6152	15	M - Male		Violator	No Injury
6278	15	M - Male		Violator	Unknown
6287	15	M - Male		Violator Passengers	Unknown
6301	15	M - Male		Violator	Unknown
6575	15	M - Male		Violator	No Injury
6575	15	M - Male		Violator Passengers	No Injury
6656	15	M - Male		Violator Passengers	No Injury
6670	15	M - Male		Violator	No Injury
6803	15	M - Male		Violator	No Injury
6806	15	M - Male		Violator	No Injury
6847	15	M - Male		Violator	No Injury
6847	15	M - Male		Violator Passengers	No Injury
6893	15	M - Male		Violator Passengers	No Injury
6965	15	M - Male		Violator Passengers	No Injury
7064	15	M - Male		Violator	No Injury
7114	15	F - Female		Violator	No Injury
7119	15	M - Male		Violator	No Injury
7161	15	M - Male		Violator	No Injury
99	16	Male		Violator	No Injury
99	16	Male		Violator Passengers	No Injury
118	16	Male		Violator	No Injury
119	16	Male		Violator	No Injury
155	16	Male		Violator	No Injury
176	16	Female		Violator Passengers	No Injury
177	16	Female		Violator	No Injury
182	16	Female		Violator	No Injury
209	16	Male		Violator	No Injury
228	16	Male		Violator Passengers	No Injury
248	16	Male		Violator	No Injury
325	16	Male		Violator	No Injury
325	16	Female		Violator Passengers	No Injury
366	16	Male		Violator Passengers	No Injury
385	16	Male		Violator	No Injury
399	16	Female		Violator	No Injury
422	16	Male		Violator Passengers	No Injury
436	16	Male		Violator	No Injury
447	16	Female		Violator	No Injury
452	16	Male		Violator	No Injury
453	16	Male		Violator Passengers	No Injury
492	16	Male		Violator	Possible Injury
492	16	Male		Violator Passengers	Non-incapacitating Injury
511	16	Male		Violator	No Injury
581	16	Female		Violator	No Injury
639	16	Male		Violator	No Injury
642	16	Male		Violator	No Injury
666	16	Female		Violator Passengers	No Injury
681	16	Male		Violator	No Injury
690	16	Male		Violator	No Injury
692	16	Female		Violator	No Injury
750	16	Female		Violator	No Injury
770	16	Male		Violator	No Injury
770	16	Male		Violator Passengers	No Injury
846	16	FEMALE		Violator	No Injury
885	16	FEMALE		Violator Passengers	Non-incapacitating Injury
887	16	MALE		Violator	No Injury
889	16	MALE		Violator Passengers	No Injury
889	16	MALE		Violator Passengers	No Injury
939	16	FEMALE		Violator	Unknown
942	16	MALE		Violator	No Injury
967	16	MALE		Violator	No Injury
972	16	MALE		Violator	No Injury
981	16	MALE		Violator	No Injury
985	16	MALE		Violator	No Injury
985	16	MALE		Violator Passengers	No Injury
990	16	FEMALE		Violator	No Injury
1002	16	MALE		Violator	No Injury
1002	16	FEMALE		Violator Passengers	No Injury
1007	16	FEMALE		Violator Passengers	No Injury
1012	16	MALE		Violator	No Injury
1035	16	MALE		Violator Passengers	No Injury
1048	16	MALE		Violator Passengers	No Injury
1061	16	MALE		Violator	No Injury
1087	16	MALE		Violator Passengers	No Injury
1123	16	MALE		Violator	Non-incapacitating Injury
1229	16	MALE		Violator	No Injury
1229	16	MALE		Violator Passengers	No Injury
1314	16	MALE		Violator Passengers	No Injury
1324	16	MALE		Violator Passengers	Non-incapacitating Injury
1385	16	MALE		Violator Passengers	Non-incapacitating Injury
1444	16	MALE		Violator Passengers	No Injury
1466	16	MALE		Violator	No Injury
1470	16	MALE		Violator	No Injury
1470	16	Female		Violator Passengers	No Injury
1522	16	MALE		Violator Passengers	No Injury
1529	16	MALE		Violator	No Injury
1562	16	MALE		Violator Passengers	No Injury
1631	16	MALE		Violator	No Injury
1632	16	MALE		Violator	No Injury
1673	16	FEMALE		Violator Passengers	No Injury
1685	16	MALE		Violator	No Injury
1706	16	MALE		Violator	No Injury
1706	16	FEMALE		Violator Passengers	No Injury
1708	16	MALE		Violator	No Injury
1774	16	MALE		Violator Passengers	No Injury
1828	16	FEMALE		Violator	Possible Injury
1839	16	MALE		Violator	No Injury
1865	16	MALE		Violator Passengers	No Injury
1943	16	FEMALE		Violator Passengers	No Injury
2021	16	FEMALE		Violator Passengers	No Injury
2147	16	FEMALE		Violator Passengers	No Injury
2192	16	Female		Violator Passengers	Non-incapacitating Injury
2231	16	Male		Violator	No Injury
2242	16	Male		Violator Passengers	No Injury
2242	16	Male		Violator Passengers	No Injury
2250	16	Male		Violator	No Injury
2303	16	Male		Violator Passengers	No Injury
2343	16	Male		Violator	No Injury
2343	16	Male		Violator Passengers	No Injury
2351	16	Male		Violator Passengers	No Injury
2419	16	Male		Violator	Non-incapacitating Injury
2419	16	Male		Violator Passengers	No Injury
2431	16	Male		Violator	Non-incapacitating Injury
2461	16	Female		Violator Passengers	No Injury
2545	16	Female		Violator Passengers	No Injury
2564	16	Female		Violator Passengers	No Injury
2577	16	Male		Violator	No Injury
2578	16	Male		Violator Passengers	No Injury
2598	16	Male		Violator Passengers	Unknown
2603	16	Male		Violator	Unknown
2631	16	Male		Violator Passengers	Unknown
2643	16	Male		Violator Passengers	Unknown
2698	16	Male		Violator	No Injury
2701	16	Female		Violator Passengers	No Injury
2714	16	Male		Violator Passengers	No Injury
2714	16	Male		Violator Passengers	No Injury
2736	16	Female		Violator	Non-incapacitating Injury
2796	16	Male		Violator	No Injury
2903	16	Male		Violator Passengers	Non-incapacitating Injury
1653	16	Male		Violator	No Injury
3014	16	Male		Violator	Non-incapacitating Injury
3048	16	Male		Violator	Unknown
3062	16	Female		Violator Passengers	No Injury
3062	16	Female		Violator Passengers	No Injury
3085	16	Male		Violator Passengers	No Injury
3161	16	Male		Violator	No Injury
3161	16	Male		Violator Passengers	No Injury
3184	16	Male		Violator	Possible Injury
3255	16	Female		Violator	Unknown
3258	16	Male		Violator	No Injury
3258	16	Male		Violator Passengers	No Injury
3279	16	Male		Violator Passengers	No Injury
3284	16	Female		Violator Passengers	No Injury
3316	16	Male		Violator	No Injury
3318	16	Male		Violator	No Injury
3382	16	Male		Violator	No Injury
3387	16	Male		Violator	No Injury
3388	16	Male		Violator Passengers	Unknown
3388	16	Male		Violator Passengers	Unknown
3393	16	Male		Violator	No Injury
3407	16	Male		Violator	No Injury
3449	16	Male		Violator	No Injury
3467	16	Male		Violator	Possible Injury
3479	16	Male		Violator	Unknown
3486	16	Male		Violator Passengers	Non-incapacitating Injury
3559	16	Male		Violator	No Injury
3570	16	Male		Violator	Unknown
3617	16	Male		Violator	No Injury
3621	16	Male		Violator	No Injury
3628	16	Male		Violator Passengers	No Injury
3628	16	Male		Violator Passengers	No Injury
3628	16	Male		Violator Passengers	No Injury
3636	16	Male		Violator	No Injury
3671	16	Male		Violator	No Injury
3671	16	Male		Violator Passengers	No Injury
3695	16	Male		Violator	No Injury
3727	16	M - Male		Violator Passengers	No Injury
3796	16	M - Male		Violator	No Injury
3806	16	F - Female		Violator Passengers	No Injury
3822	16	M - Male		Violator	No Injury
3847	16	M - Male		Violator Passengers	No Injury
3849	16	M - Male		Violator	Unknown
3849	16	M - Male		Violator Passengers	Unknown
3871	16	M - Male		Violator Passengers	No Injury
3871	16	F - Female		Unrelated Pedestrian	No Injury
3905	16	M - Male		Violator Passengers	Unknown
3907	16	M - Male		Violator	Possible Injury
3911	16	F - Female		Violator Passengers	No Injury
4022	16	M - Male		Violator	No Injury
4065	16	F - Female		Violator Passengers	No Injury
4066	16	M - Male		Violator	Unknown
4084	16	M - Male		Violator	No Injury
4084	16	M - Male		Violator Passengers	No Injury
4084	16	M - Male		Violator Passengers	No Injury
4095	16	M - Male		Violator Passengers	No Injury
4150	16	M - Male		Violator	No Injury
4228	16	M - Male		Violator	No Injury
4228	16	M - Male		Violator Passengers	No Injury
4264	16	M - Male		Violator Passengers	No Injury
4274	16	M - Male		Violator	No Injury
4313	16	M - Male		Violator Passengers	No Injury
4324	16	M - Male		Violator	No Injury
4396	16	M - Male		Violator	No Injury
4403	16	F - Female		Violator	No Injury
4412	16	F - Female		Violator Passengers	Fatal
4444	16	M - Male		Violator Passengers	No Injury
4540	16	M - Male		Violator	No Injury
4562	16	M - Male		Violator	No Injury
4599	16	M - Male		Violator	No Injury
4615	16	F - Female		Violator Passengers	No Injury
4634	16	F - Female		Violator Passengers	Possible Injury
