COUNTY,FacilityCarried,FeatureCrossed,BridgeNbr,DefStat,SuffRate,ADT,DIST,LENGTH,YrBuilt,InspectAgency,OWNER
AITKIN,CSAH 15,CEDAR CREEK,01504,ADEQ,84.30,205.00,3,105,1966,AITKIN COUNTY,COUNTY
AITKIN,CSAH 18,WILLOW RIVER,01505,ADEQ,85.40,60.00,3,144,1967,AITKIN COUNTY,COUNTY
AITKIN,CSAH 2,STREAM, 7215,ADEQ,89.60,375.00,3,53,1958,AITKIN COUNTY,COUNTY
AITKIN,CSAH 2,SNAKE RIVER, 7216,ADEQ,88.50,375.00,3,65,1958,AITKIN COUNTY,COUNTY
AITKIN,CSAH 2,SNAKE RIVER,96811,ADEQ,100.00,185.00,3,25,1992,AITKIN COUNTY,COUNTY
AITKIN,CSAH 22,WAKEFIELD BROOK,01502,ADEQ,77.80,610.00,3,59,1960,AITKIN COUNTY,COUNTY
AITKIN,CSAH 22,MISS R DIVERSION CHANNEL,01526,ADEQ,97.50,510.00,3,243,2006,AITKIN COUNTY,COUNTY
AITKIN,CSAH 23,CHAN BETWEEN TWO LAKES,01516,ADEQ,92.90,185.00,3,121,1983,AITKIN COUNTY,COUNTY
AITKIN,CSAH 26,SNAKE RIVER,01518,ADEQ,98.00,40.00,3,79,1995,AITKIN COUNTY,COUNTY
AITKIN,CSAH 28,RIPPLE RIVER,01512,ADEQ,92.30,770.00,3,46,1978,AITKIN COUNTY,COUNTY
AITKIN,CSAH 29,WILLOW RIVER,01513,ADEQ,95.80,55.00,3,95,1980,AITKIN COUNTY,COUNTY
AITKIN,CSAH 29,MOOSE RIVER,01J22,ADEQ,100.00,50.00,3,33,2005,AITKIN COUNTY,COUNTY
AITKIN,CSAH 29,LITTLE HILL RIVER,96142,ADEQ,100.00,55.00,3,29,1986,AITKIN COUNTY,COUNTY
AITKIN,CSAH 3,WILLOW RIVER, 7167,S.D.,51.10,750.00,3,201,1957,AITKIN COUNTY,COUNTY
AITKIN,CSAH 32,TAMARACK RIVER,L1092,S.D.,31.20,145.00,1,32,1974,AITKIN COUNTY,COUNTY
AITKIN,CSAH 34,STREAM,93006,S.D.,65.80,40.00,3,32,1973,AITKIN COUNTY,COUNTY
AITKIN,CSAH 39,RIPPLE RIVER,01J04,ADEQ,99.80,610.00,3,30,1997,AITKIN COUNTY,TWP
AITKIN,CSAH 4,RICE RIVER, 7277,ADEQ,77.30,265.00,3,65,1959,AITKIN COUNTY,COUNTY
AITKIN,CSAH 5,RICE RIVER,01508,ADEQ,96.30,75.00,3,79,1969,AITKIN COUNTY,COUNTY
AITKIN,CSAH 5,WILLOW RIVER,01509,ADEQ,96.40,90.00,3,115,1974,AITKIN COUNTY,COUNTY
AITKIN,CSAH 5,SISSABAGAMAH CREEK,95332,ADEQ,100.00,255.00,3,25,1995,AITKIN COUNTY,COUNTY
AITKIN,CSAH 9,BEAR CREEK,01J11,ADEQ,100.00,155.00,3,23,2002,AITKIN COUNTY,COUNTY
AITKIN,LONG POINT PL,BIG SANDY LAKE,01525,ADEQ,93.20,196.00,3,69,2006,AITKIN COUNTY,TWP
AITKIN,MNTH 200,MISSISSIPPI RIVER,01015,ADEQ,100.00,1200.00,1,200,2002,DISTRICT 1,STATE
AITKIN,TH 18,SNAKE RIVER, 9004,ADEQ,89.00,760.00,1,128,1955,DISTRICT 1,STATE
AITKIN,TH 200,LITTLE HILL RIVER, 6095,ADEQ,93.40,1050.00,3,22,1936,DISTRICT 3,STATE
AITKIN,TH 200,HILL LAKE CHANNEL,01002,ADEQ,92.30,1350.00,1,82,1976,DISTRICT 1,STATE
AITKIN,TH 200,MORRISON BROOK,91866,ADEQ,93.80,1200.00,3,57,1983,DISTRICT 3,STATE
AITKIN,TH 210,SANDY RIVER, 6295,ADEQ,93.30,2600.00,1,22,1930,DISTRICT 1,STATE
AITKIN,TH 210,SISSABAGAMAH CREEK, 6296,ADEQ,71.10,5000.00,3,23,1927,DISTRICT 3,STATE
AITKIN,TH 210,RIPPLE RIVER,01005,ADEQ,97.80,8400.00,3,82,1980,DISTRICT 3,STATE
AITKIN,TH 210,RICE RIVER,01006,ADEQ,83.80,5000.00,3,82,1984,DISTRICT 3,STATE
AITKIN,TH 210,BNSF RR,01007,ADEQ,98.40,6300.00,1,167,1983,DISTRICT 1,STATE
AITKIN,TH 232,CHAN BETWEEN TWO LAKES,01011,ADEQ,98.70,790.00,1,236,2001,DISTRICT 1,STATE
AITKIN,TH 232,MISSISSIPPI RIVER,01012,ADEQ,98.30,840.00,1,289,2000,DISTRICT 1,STATE
AITKIN,TH 47,DITCH,01001,S.D.,31.40,1250.00,3,26,1968,DISTRICT 3,STATE
AITKIN,TH 47,PETERSON CREEK,91058,ADEQ,95.50,1350.00,3,21,1967,DISTRICT 3,STATE
AITKIN,TH 65,SNAKE RIVER, 4502,ADEQ,94.10,1750.00,1,41,1937,DISTRICT 1,STATE
AITKIN,TH 65,MINNEWAWA CREEK, 6339,ADEQ,87.30,4950.00,1,26,1941,DISTRICT 1,STATE
AITKIN,TH 65,STREAM, 6725,ADEQ,83.30,22000.00,1,22,1951,DISTRICT 1,STATE
AITKIN,TH 65,SNAKE RIVER,01009,ADEQ,95.20,1750.00,1,217,1996,DISTRICT 1,STATE
AITKIN,TH 65,SANDY RIVER,01013,ADEQ,93.80,1400.00,1,154,2005,DISTRICT 1,STATE
AITKIN,TH 65,SANDY RIVER,01014,ADEQ,84.80,4950.00,1,62,2000,DISTRICT 1,STATE
AITKIN,TH 65,SANDY RIVER,01016,ADEQ,87.70,2900.00,1,161,2005,DISTRICT 1,STATE
AITKIN,TH 65,SWAN RIVER,96338,ADEQ,95.60,1250.00,1,46,1986,DISTRICT 1,STATE
AITKIN,US 169,RIPPLE RIVER, 2470,ADEQ,81.90,7500.00,3,33,1931,DISTRICT 3,STATE
AITKIN,US 169,CHAN BETWEEN TWO LAKES, 3911,ADEQ,90.70,3950.00,3,33,1936,DISTRICT 3,STATE
AITKIN,US 169,RIPPLE RIVER, 4874,ADEQ,83.00,9400.00,3,70,1929,DISTRICT 3,STATE
AITKIN,US 169,MISSISSIPPI RIVER,01004,ADEQ,96.10,2450.00,3,322,1990,DISTRICT 3,STATE
AITKIN,US 169,RIPPLE RIVER,91049,S.D.,58.10,3950.00,3,27,1964,DISTRICT 3,STATE
AITKIN,US 169,RIPPLE RIVER,91050,S.D.,58.10,3950.00,3,27,1964,DISTRICT 3,STATE
AITKIN,US 169,HILL RIVER,91863,ADEQ,86.30,2550.00,3,42,1980,DISTRICT 3,STATE
AITKIN,US 169,MORRISON BROOK,91864,ADEQ,87.30,2550.00,3,49,1983,DISTRICT 3,STATE
AITKIN,US 169,HILL RIVER (CD #37),91865,ADEQ,88.80,1950.00,3,29,1980,DISTRICT 3,STATE
AITKIN,US 169,MOOSE RIVER,95113,ADEQ,88.50,2000.00,3,49,1985,DISTRICT 3,STATE
AITKIN,US 169,WILLOW RIVER,95114,ADEQ,97.70,2000.00,3,52,1980,DISTRICT 3,STATE
ANOKA,104(SUNWOOD DR),WETLAND,02561,ADEQ,98.90,1500.00,METRO,104,1996,CITY OF RAMSEY,CITY
ANOKA,129 AVE NE,MN 65,02052,ADEQ,93.00,1.00,METRO,190,2007,METRO DISTRICT,STATE
ANOKA,131ST AVE(MSAS140),COON CREEK,02530,ADEQ,99.80,1350.00,METRO,78,1978,CITY OF COON RAPIDS,CITY
ANOKA,20 AVE S (CSAH 54),CLEARWATER CREEK,02J01,ADEQ,97.80,4158.00,METRO,29,1994,ANOKA COUNTY,COUNTY
ANOKA,Airport Road,US 10,02047,ADEQ,93.30,7300.00,METRO,312,1992,METRO DISTRICT,STATE
ANOKA,CO RD J (CSAH 32),I 35W,02571,ADEQ,98.70,17000.00,METRO,316,2006,METRO DISTRICT,STATE
ANOKA,COON CRK DR (108),COON CREEK,02529,ADEQ,99.60,1750.00,METRO,67,1978,CITY OF ANDOVER,CITY
ANOKA,COON RAPIDS BLVD,NB EAST RIVER RD(CSAH 1),02522,ADEQ,94.40,30231.00,METRO,211,1972,ANOKA COUNTY,COUNTY
ANOKA,CR 140,I 35E,02802,ADEQ,84.80,1050.00,METRO,210,1965,METRO DISTRICT,STATE
ANOKA,CR 140(80 ST),HARDWOOD CREEK,96424,ADEQ,98.60,1121.00,METRO,22,1989,ANOKA COUNTY,CITY
ANOKA,CR 18,WETLANDS,02551,ADEQ,97.80,8998.00,METRO,24,1989,ANOKA COUNTY,COUNTY
ANOKA,CR 18(XTWN BD),COON CREEK,96832,ADEQ,95.30,12550.00,METRO,42,1990,ANOKA COUNTY,COUNTY
ANOKA,CR 52,COON CREEK,02533,ADEQ,98.80,3964.00,METRO,68,1983,ANOKA COUNTY,COUNTY
ANOKA,CR 53,I 35W, 9831,ADEQ,80.10,5000.00,METRO,232,1967,METRO DISTRICT,STATE
ANOKA,CR 71,SEELYE BROOK,02534,ADEQ,83.70,572.00,METRO,72,1986,ANOKA COUNTY,COUNTY
ANOKA,CR 74(221 AV NE),CEDAR CREEK,96846,ADEQ,98.80,2721.00,METRO,26,1990,ANOKA COUNTY,COUNTY
ANOKA,CR 77,SUNRISE RIVER,90733,S.D.,24.40,427.00,METRO,30,1924,ANOKA COUNTY,COUNTY
ANOKA,CR 86(SIMS RD),CEDAR CREEK,R0022,ADEQ,98.80,2967.00,METRO,29,1982,ANOKA COUNTY,COUNTY
ANOKA,Creek Meadows Dr,US 10,02562,ADEQ,84.10,3500.00,METRO,200,1998,METRO DISTRICT,STATE
ANOKA,CSAH 1,RICE CREEK,02541,ADEQ,91.10,18210.00,METRO,56,1988,ANOKA COUNTY,COUNTY
ANOKA,CSAH 1,COON CREEK,92164,ADEQ,81.20,30231.00,METRO,34,1973,ANOKA COUNTY,COUNTY
ANOKA,CSAH 10 EB,TH 65, 9264,ADEQ,97.00,40000.00,METRO,196,1960,METRO DISTRICT,STATE
ANOKA,CSAH 10 WB,TH 65, 9263,ADEQ,97.00,40000.00,METRO,196,1960,METRO DISTRICT,STATE
ANOKA,CSAH 11,COON CREEK,02553,ADEQ,98.20,11139.00,METRO,44,1991,ANOKA COUNTY,COUNTY
ANOKA,CSAH 116,RUM RIVER,02545,ADEQ,96.30,16405.00,METRO,540,1990,ANOKA COUNTY,COUNTY
ANOKA,CSAH 116,RUM RIVER OXBOW,02546,ADEQ,97.50,16405.00,METRO,106,1990,ANOKA COUNTY,COUNTY
ANOKA,CSAH 116,COON CREEK,02564,ADEQ,93.00,15948.00,METRO,73,1999,ANOKA COUNTY,COUNTY
ANOKA,CSAH 116,PARK ACCESS ROAD,96834,ADEQ,82.00,16405.00,METRO,42,1990,ANOKA COUNTY,COUNTY
ANOKA,CSAH 13,CEDAR CREEK,02518,ADEQ,86.30,1600.00,METRO,78,1966,ANOKA COUNTY,COUNTY
ANOKA,CSAH 14,I 35W, 9830,F.O.,73.90,6400.00,METRO,180,1967,METRO DISTRICT,STATE
ANOKA,CSAH 14,COON CREEK & WEAK SOIL,02015,ADEQ,92.80,22514.00,METRO,961,2002,ANOKA COUNTY,COUNTY
ANOKA,CSAH 14,CHAN BETWEEN TWO LAKES,02527,S.D.,48.40,6400.00,METRO,32,1975,ANOKA COUNTY,COUNTY
ANOKA,CSAH 14,BNSF RR,02560,ADEQ,92.70,16577.00,METRO,241,1991,ANOKA COUNTY,COUNTY
ANOKA,CSAH 14,I 35E,02803,ADEQ,80.90,11900.00,METRO,209,1966,METRO DISTRICT,STATE
ANOKA,CSAH 14(MAIN ST),CLEARWATER CREEK,97893,ADEQ,97.10,8274.00,METRO,29,1994,ANOKA COUNTY,COUNTY
ANOKA,CSAH 17,I 35W,02550,ADEQ,92.00,13000.00,METRO,288,1997,METRO DISTRICT,STATE
ANOKA,CSAH 18,COON CREEK,02549,S.D.,59.70,16454.00,METRO,131,1988,ANOKA COUNTY,COUNTY
ANOKA,CSAH 2(44TH AVE),BNSF RR,02523,ADEQ,93.60,10357.00,METRO,"1,160",1973,ANOKA COUNTY,COUNTY
ANOKA,CSAH 22,RUM RIVER,02519,ADEQ,79.60,7149.00,METRO,239,1969,ANOKA COUNTY,COUNTY
ANOKA,CSAH 22,FORD BROOK,02548,ADEQ,98.00,4603.00,METRO,69,1987,ANOKA COUNTY,COUNTY
ANOKA,CSAH 22,CEDAR CREEK,95167,ADEQ,97.20,7488.00,METRO,41,1983,ANOKA COUNTY,COUNTY
ANOKA,CSAH 23,I 35W, 9820,ADEQ,86.90,10500.00,METRO,282,1967,METRO DISTRICT,STATE
ANOKA,CSAH 23,I 35W,02817,ADEQ,94.50,32712.00,METRO,284,2008,METRO DISTRICT,STATE
ANOKA,CSAH 24,RUM RIVER,02501,ADEQ,88.10,8025.00,METRO,391,1964,ANOKA COUNTY,COUNTY
ANOKA,CSAH 26,CEDAR CREEK, 2195,S.D.,34.20,1514.00,METRO,33,1918,ANOKA COUNTY,COUNTY
ANOKA,CSAH 28,SEELYE BROOK,02502,ADEQ,88.80,845.00,METRO,27,1961,ANOKA COUNTY,COUNTY
ANOKA,CSAH 30(PLSANT ST),RUM RIVER,02531,ADEQ,97.30,4887.00,METRO,327,1980,ANOKA COUNTY,COUNTY
ANOKA,CSAH 31,US 10, 9715,F.O.,78.40,5800.00,METRO,152,1963,METRO DISTRICT,STATE
ANOKA,CSAH 32,US 10,02048,ADEQ,81.60,14700.00,METRO,603,1992,METRO DISTRICT,STATE
ANOKA,CSAH 35,RICE CREEK, 3310,S.D.,71.20,7356.00,METRO,23,1920,ANOKA COUNTY,COUNTY
ANOKA,CSAH 51,SAND CREEK,02520,ADEQ,96.80,14330.00,METRO,78,1966,ANOKA COUNTY,COUNTY
ANOKA,CSAH 52,TH 35 W,02566,ADEQ,97.50,20400.00,METRO,234,2002,METRO DISTRICT,STATE
ANOKA,CSAH 54,I 35W,02801,ADEQ,82.80,1500.00,METRO,227,1967,METRO DISTRICT,STATE
ANOKA,CSAH 7,RUM RIVER,02526,ADEQ,91.00,7083.00,METRO,275,1975,ANOKA COUNTY,COUNTY
ANOKA,CSAH 7,SEELYE BROOK,02535,ADEQ,87.50,5713.00,METRO,60,1984,ANOKA COUNTY,COUNTY
ANOKA,CSAH 78,COON CREEK,95884,ADEQ,81.50,27173.00,METRO,40,1983,ANOKA COUNTY,COUNTY
ANOKA,CSAH 78(HANSON BD),COON CREEK,02539,ADEQ,96.90,13581.00,METRO,67,1982,ANOKA COUNTY,COUNTY
ANOKA,CSAH 85,TYPO CREEK,95700,ADEQ,98.30,1287.00,METRO,44,1984,ANOKA COUNTY,COUNTY
ANOKA,CSAH 85,TYPO CREEK,95701,ADEQ,97.30,1287.00,METRO,37,1984,ANOKA COUNTY,COUNTY
ANOKA,CSAH 9,CEDAR CREEK,02536,ADEQ,95.50,9836.00,METRO,69,1995,ANOKA COUNTY,COUNTY
ANOKA,CSAH 9,US 10,02552,ADEQ,88.30,45000.00,METRO,177,1989,METRO DISTRICT,STATE
ANOKA,E RIVER BLVD (317),COON CREEK,L5972,ADEQ,83.10,500.00,METRO,25,1967,CITY OF COON RAPIDS,CITY
ANOKA,EDISON ST NE,LAKE CHANNEL,02J28,ADEQ,100.00,100.00,METRO,24,2005,CITY OF BLAINE,CITY
ANOKA,Egret Blvd,US 10,02031,ADEQ,78.80,7300.00,METRO,200,1997,METRO DISTRICT,STATE
ANOKA,Foley Blvd,"US 10, RAMP & MN 47 SB",02033,ADEQ,91.60,15700.00,METRO,344,1996,METRO DISTRICT,STATE
ANOKA,FOLEY BLVD (114),SAND CREEK,92167,ADEQ,80.60,9100.00,METRO,23,1968,CITY OF COON RAPIDS,CITY
ANOKA,HANSON BLVD,US 10,02567,ADEQ,93.80,29000.00,METRO,193,2007,METRO DISTRICT,STATE
ANOKA,HODGSON RD(CSAH49),RICE CREEK,02563,ADEQ,93.50,12017.00,METRO,71,2006,ANOKA COUNTY,COUNTY
ANOKA,I 35W,RICE CREEK, 9823,ADEQ,73.60,41500.00,METRO,33,1967,METRO DISTRICT,STATE
ANOKA,I 35W NB,I 35E SB,02804,ADEQ,72.00,20750.00,METRO,306,1967,METRO DISTRICT,STATE
ANOKA,I 35W SB ON RP,I 35W, 9607,ADEQ,97.30,8500.00,METRO,321,1968,METRO DISTRICT,STATE
ANOKA,I 694,7TH ST. NE,02811,ADEQ,84.00,123000.00,METRO,91,1988,METRO DISTRICT,STATE
ANOKA,I 694,MN 47,02813,ADEQ,79.40,123000.00,METRO,156,1988,METRO DISTRICT,STATE
ANOKA,I 694,MN 65,02815,ADEQ,87.80,123000.00,METRO,203,1988,METRO DISTRICT,STATE
ANOKA,I 694 EB,E RIVER RD, 9862,ADEQ,92.70,71000.00,METRO,170,1964,METRO DISTRICT,STATE
ANOKA,I 694 WB,E RIVER RD, 9861,ADEQ,92.70,71000.00,METRO,170,1962,METRO DISTRICT,STATE
ANOKA,LAKES PARKWAY,LAKE CHANNEL,02J26,ADEQ,100.00,100.00,METRO,24,2005,CITY OF BLAINE,CITY
ANOKA,MAIN ST (CSAH 14),US 10,02559,ADEQ,91.40,33000.00,METRO,246,2000,METRO DISTRICT,STATE
ANOKA,MAIN ST (MSAS 134),RUM RIVER, 5875,ADEQ,67.70,26000.00,METRO,295,1942,CITY OF ANOKA,CITY
ANOKA,MAIN ST NE,I 694, 9860,F.O.,72.70,27000.00,METRO,166,1964,METRO DISTRICT,STATE
ANOKA,MATTERHORN DR.,I 694, 9868,ADEQ,87.80,2600.00,METRO,203,1964,METRO DISTRICT,STATE
ANOKA,MN 242,MN 65,02051,ADEQ,98.00,1.00,METRO,166,2007,METRO DISTRICT,STATE
ANOKA,MN 610 EB,E RIVER RD,02024,ADEQ,95.90,33500.00,METRO,171,1986,METRO DISTRICT,STATE
ANOKA,MN 610 EB,BNSF RR,02026,ADEQ,95.90,33500.00,METRO,62,1986,METRO DISTRICT,STATE
ANOKA,MN 610 EB,COON RAPIDS BLVD,02028,ADEQ,96.40,27500.00,METRO,194,1986,METRO DISTRICT,STATE
ANOKA,MN 610 EB,UNIVERSITY AVE,02040,ADEQ,96.40,27500.00,METRO,167,1997,METRO DISTRICT,STATE
ANOKA,MN 610 EB,MN 47,02042,ADEQ,96.40,27500.00,METRO,223,1997,METRO DISTRICT,STATE
ANOKA,MN 610 WB,E RIVER RD,02023,ADEQ,95.90,33500.00,METRO,171,1986,METRO DISTRICT,STATE
ANOKA,MN 610 WB,BNSF RR,02025,ADEQ,95.90,33500.00,METRO,62,1986,METRO DISTRICT,STATE
ANOKA,MN 610 WB,COON RAPIDS BLVD,02027,ADEQ,96.40,27500.00,METRO,190,1986,METRO DISTRICT,STATE
ANOKA,MN 610 WB,UNIVERSITY AVE,02039,ADEQ,95.40,27500.00,METRO,164,1997,METRO DISTRICT,STATE
ANOKA,MN 610 WB,MN 47,02041,ADEQ,96.40,27500.00,METRO,223,1997,METRO DISTRICT,STATE
ANOKA,MSAS 104,EGRET BLVD / COON CREEK,02503,S.D.,30.60,8300.00,METRO,63,1962,CITY OF COON RAPIDS,CITY
ANOKA,MSAS 116,BNSF RR,02521,ADEQ,97.60,18253.00,METRO,241,1972,ANOKA COUNTY,COUNTY
ANOKA,MSAS 120,COON CREEK,02J08,ADEQ,83.70,3500.00,METRO,47,1998,CITY OF COON RAPIDS,CITY
ANOKA,MUN 22(PELTIER DR),CLEARWATER CREEK,02J05,ADEQ,99.00,100.00,METRO,26,1994,ANOKA COUNTY,CITY
ANOKA,MUN 31(AQUA LANE),RICE CREEK,02554,ADEQ,99.00,430.00,METRO,62,1991,ANOKA COUNTY,OTHER
ANOKA,MUN 8(BRIAN ST),CLEARWATER CREEK,02J04,ADEQ,77.40,50.00,METRO,27,1994,ANOKA COUNTY,CITY
ANOKA,NORTHDALE BLVD,US 10,02570,ADEQ,80.40,6200.00,METRO,301,2006,METRO DISTRICT,STATE
ANOKA,PAUL PKWY(121 AVE),MN 65,02050,ADEQ,97.00,1.00,METRO,190,2007,METRO DISTRICT,STATE
ANOKA,Polk Street,US 10,02043,ADEQ,96.50,5100.00,METRO,282,1998,METRO DISTRICT,STATE
ANOKA,PRAIRIE RD (101),COON CREEK,02528,ADEQ,97.90,4650.00,METRO,67,1978,CITY OF ANDOVER,CITY
ANOKA,REISLING (MSAS121),BNSF RR,02557,ADEQ,97.90,15000.00,METRO,176,1991,CITY OF COON RAPIDS,CITY
ANOKA,REISLING BLVD,COON CREEK,02556,ADEQ,90.20,1.00,METRO,92,1994,CITY OF COON RAPIDS,CITY
ANOKA,RHINESTONE ST,POND,02569,ADEQ,99.80,3000.00,METRO,99,2006,CITY OF RAMSEY,CITY
ANOKA,S LAKE BLVD,LAKE CHANNEL,02J27,ADEQ,100.00,100.00,METRO,39,2005,CITY OF BLAINE,CITY
ANOKA,SUNWOOD DR,SWAMP DRAINAGE,02J17,ADEQ,100.00,610.00,METRO,25,2002,CITY OF RAMSEY,CITY
ANOKA,TH 47,TROTT BROOK,02038,ADEQ,95.20,8000.00,METRO,69,2000,METRO DISTRICT,STATE
ANOKA,TH 47,SEELYE BROOK,02049,ADEQ,98.20,5300.00,METRO,53,2001,METRO DISTRICT,STATE
ANOKA,TH 47,FORD BROOK,02X01,ADEQ,97.50,6650.00,METRO,23,2000,METRO DISTRICT,STATE
ANOKA,TH 47,FORD BROOK,02X02,ADEQ,97.90,5600.00,METRO,23,2000,METRO DISTRICT,STATE
ANOKA,TH 47,RICE CREEK,91097,ADEQ,71.80,34000.00,METRO,23,1965,METRO DISTRICT,STATE
ANOKA,TH 47 NB,CSAH 10, 9726,ADEQ,76.50,11750.00,METRO,250,1966,METRO DISTRICT,STATE
ANOKA,TH 47 SB,CSAH 10, 9725,ADEQ,76.50,11750.00,METRO,250,1966,METRO DISTRICT,STATE
ANOKA,TH 65,CEDAR CREEK, 6752,ADEQ,81.30,22000.00,METRO,23,1951,METRO DISTRICT,STATE
ANOKA,TH 65,RICE CREEK, 8787,ADEQ,62.50,35000.00,METRO,27,1953,METRO DISTRICT,STATE
ANOKA,TH 65 NB,COON CREEK, 9417,ADEQ,92.40,19500.00,METRO,75,1958,METRO DISTRICT,STATE
ANOKA,TH 65 SB,COON CREEK, 6817,ADEQ,88.20,19500.00,METRO,27,1953,METRO DISTRICT,STATE
ANOKA,TH 97,I 35,02806,ADEQ,79.10,17000.00,METRO,233,1967,METRO DISTRICT,STATE
ANOKA,THURSTON AVE (122),BNSF RR,02547,ADEQ,79.00,8600.00,METRO,158,1986,CITY OF ANOKA,CITY
ANOKA,TWP 1197,W BRANCH SUNRISE RIVER,02516,ADEQ,90.90,165.00,METRO,26,1964,ANOKA COUNTY,TWP
ANOKA,US 10,RUM RIVER, 9700,ADEQ,89.90,67000.00,METRO,265,1962,METRO DISTRICT,STATE
