"ID","NAME","TREASURER","ADDRESS1","ADDRESS2","CITY","STATE","ZIP","DESIGNATE","TYPE","PARTY","FILEFREQ","INTEREST","CONNECTED","CAND_ID","COMMCODE"
"C00037606","NORM DICKS FOR CONGRESS","Herb Simon","PO Box 1663",,"Tacoma","WA","98401","P","H","DEM","Q",,,"H6WA06021",
"C00038323","ED JENKINS FOR CONGRESS","ED JENKINS","POST OFFICE BOX 70",,"JASPER","GA","30143","P","H",,"T",,,"H6GA09029",
"C00038505","NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE","Moseley, Robert L. Jr.","1506 Hillsborough Street","PO Box 12905","Raleigh","NC","27605","U","Y","REP","M",,"Tribute Victory Fund",,
"C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","Himpler, Bill Mr.","919 18th Street NW",,"Washington","DC","20006","U","Q","UNK","M","T","American Financial Services Associatio",,
"C00038612","SEARS HOLDINGS CORPORATION PAC","Michael Kier","3333 Beverly Road","B6-347A","Hoffman Estates","IL","60179","U","Q","UNK","M","C","Sears Holdings Corporation",,
"C00038794","DRAVO CORPORATION EMPLOYEES FOR BETTER GOVERNMENT FUND","ROBERT PICOU","11 STANWIX STREET 11TH FLOOR",,"PITTSBURGH","PA","15222","U","Q",,"Q",,"DRAVO CORPORATION",,
"C00038927","SUPIMA POLITICAL ACTION COMMITTEE-SUPAC","CURLEE, JESSE W. Mr.","4141 E BROADWAY",,"PHOENIX","AZ","85040","U","Q","UNK","Q","T","SUPIMA",,
"C00038968","MISSOURI FARM BUREAU FARM PAC, WEST CENTRAL DISTRICT","WILLIAM L CLOUD","32643 HWY E",,"GREEN RIDGE","MO","65332","U","Q",,"Q","T","FARM BUREAU FEDERATION; MISSOURI",,
"C00039016","CLEVELAND-CLIFFS INC POLITICAL ACTION COMMITTEE (CLIFFSPAC)","MR DANA W BYRNE","1100 Superior Avenue","Room 1500","Cleveland","OH","44114","U","Q","UNK","M","C","CLEVELAND-CLIFFS INC",,
"C00039040","WHIRLPOOL CORPORATION POLITICAL ACTION COMMITTEE","Mackay, Sean Christopher Mr.","701 Pennsylvania Avenue","Suite 750","Washington","DC","20004","U","Q",,"M","C","Whirlpool Corporation - Maytag Dependa",,
"C00039057","ROHM AND HAAS EMPLOYEES ASSOCIATION FOR BETTER GOVERNMENT","Keashen, Colleen","100 Independence Mall West",".","Philadelphia","PA","19106","U","Q",,"Q","C","ROHM AND HAAS COMPANY",,
"C00039123","NEW JERSEY MEDICAL POLITICAL ACTION COMMITTEE","Michael Kornett","2 Princess Road",,"Lawrenceville","NJ","08648","U","Q",,"Q","T","New Jersey Medical Action Committee",,
"C00039164","TEAMSTERS LOCAL 959 ALASKA LABOR INDEPENDENT VOTER EDUCATION","LIRA, KRIS","520 E 34TH AVENUE",".","ANCHORAGE","AK","99503","U","Q",,"Q","L","TEAMSTERS; INT'L BROTHERHOOD OF",,
"C00039206","WILLIAMS AND JENSEN, PLLC POLITICAL ACTION COMMITTEE","Hart, J. Steven","1155 21st Street NW","Suite 300","Washington","DC","20036","U","Q",,"M","C","Williams & Jensen, PLLC",,
"C00039214","NATIONAL LUMBER AND BUILDING MATERIAL DEALERS ASSN POLITICAL ACTION COMMITTEE (LUDPAC)","O'Brien, Michael","2025 M Street NW","Suite 800","Washington","DC","20036","U","Q","NNE","M","T","National Lumber and Building Material",,
"C00039248","NEVADA MEDICAL POLITICAL ACTION COMMITTEE (NEMPAC)","LAWRENCE P MATHEIS","3660 BAKER LANE #101",,"RENO","NV","89509","U","Q","NNE","Q","T","MEDICAL ASS'N; NEVADA          [AMPAC]",,
"C00039305","CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL/STATE (CITIGROUP PAC-FEDERAL/STATE)","RUSSELL, THERESA A.","1101 PENNSYLVANIA AVE. NW","SUITE 1000","WASHINGTON","DC","20004","U","Q","UNK","M","C","CITIGROUP INC.",,
"C00039321","PEPSICO INC. CONCERNED CITIZENS FUND","Thomas H. Tamoney","700 Anderson Hill Road",".","Purchase","NY","10577","U","Q","NNE","M","C","PepsiCo Inc",,
"C00039461","BALL CORPORATION POLITICAL ACTION COMMITTEE (BALLPAC)","Westerlund, David","10 Longs Peak Drive",,"Broomfield","CO","80021","U","Q","UNK","Q","C","-",,
"C00039503","SHELL OIL COMPANY EMPLOYEES' POLITICAL AWARENESS COMMITTEE","Kasney, Ken","P O BOX 2463",,"HOUSTON","TX","77252","U","Q",,"M","C","Shell Oil Company",,
"C00039552","KELLOGG BETTER GOVERNMENT COMMITTEE","James Sholl","One Kellogg Square","P. O. Box 3599","Battle Creek","MI","49016","U","Q",,"M","C","Kellogg Company",,
"C00039578","COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE; THE","KEN A CRERAR","701 Pennsylvania Avenue NW","Suite 750","Washington","DC","20004","U","Q",,"M","T","CASUALTY & SURETY AGENTS; NAT'L ASS'N",,
"C00039941","ARIZONA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE","Wheeless, Tanya","111 W. Monroe suite 440",".","PHOENIX","AZ","85003","U","Q","UNK","Q","C","Arizona Bankers Association",,
"C00040220","TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT","Ed Roberson","2424 21st Avenue Suite 200",".","Nashville","TN","37212","U","Y","REP","M",,"Tennessee-Alexander Victory Committee",,
"C00040238","ITG GOOD GOVERNMENT COMMITTEE","MORTON, FAYE","804 Green Valley Road","Suite 300","Greensboro","NC","27408","U","Q","UNK","M","C","International Textile Group Inc",,
"C00040253","ALLSTATE INSURANCE COMPANY POLITICAL ACTION COMMITTEE","Verney, Steven C.","2775 Sanders Road","Suite A5","Northbrook","IL","60062","U","Q",,"M","C","Allstate Insurance Company",,
"C00040279","ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","Kinnavy, Rebecca Ms.","100 Abbott Park Rd.","D312 AP6D-2","Abbott Park","IL","60064","U","Q","UNK","M","C","Abbott Laboratories",,
"C00040329","NATIONAL RETAIL FEDERATION RETAILPAC","STEVEN J PFISTER","325 SEVENTH STREET NW SUITE 1000",".","WASHINGTON","DC","20004","U","Q",,"Q","T","NATIONAL RETAIL FEDERATION",,
"C00040394","WILLIAMS COMPANIES, INC. PAC, THE","DEBORAH LAWRENCE","1627 EYE STREET NW","SUITE 900","WASHINGTON","DC","20006","U","Q",,"M","C","THE WILLIAMS COMPANIES INC.",,
"C00040428","MISSOURI FARM BUREAU FARM PAC, NORTHWEST DISTRICT","RON CRIDER","11319 SW PATTON RD",,"CLARKSDALE","MO","64430","U","Q",,"Q","T","FARM BUREAU FEDERATION; MISSOURI",,
"C00040535","AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC)","Thomson III, Robert B.","801 Pennsylvania Ave. NW Suite 650",".","Washington","DC","20004","U","Q","UNK","M","C","American Express Company",,
"C00040550","MERRILL LYNCH & CO., INC. POLITICAL ACTION COMMITTEE","Micali, Mark","1455 Pennsylvania Avenue NW #950","NORTH TOWER - 31ST FLOOR","Washington","DC","20004","U","Q",,"M","C","MERRILL LYNCH & CO. INC.",,
"C00040568","MARATHON OIL COMPANY EMPLOYEES POLITICAL ACTION COMMITTEE (MEPAC)","Hoeberling, James","P.O. Box 75000, MC 2250","Room 2635","Detroit","MI","48275","U","Q","UNK","M","C","Marathon Oil Company",,
"C00040584","CONSUMER HEALTHCARE PRODUCTS ASSOCIATION PAC  (CHPA/PAC)","Fish, Andrew","900 19th Street, NW","Suite 700","Washington","DC","20006","U","Q","NNE","Q","T","Consumer Healthcare Products Associati",,
"C00040659","NATIONAL ASSOCIATION OF FEDERAL CREDIT UNIONS POLITICAL ACTION COMMITTEE","Shea, Dillon Mr.","3138 North 10th Street",".","Arlington","VA","22201","U","Q","UNK","Q","T","National Association of Federal Credit",,
"C00040725","UNITED FRESH PRODUCE ASSOCIATION  FRESH POLITICAL ACTION COMMITTEE (FRESH PAC)","Guenther, Robert","1901 Pennsylvania Avenue NW","Suite 1100","Washington","DC","20006","U","Q",,"Q","T","United Fresh Produce Association",,
"C00040741","UTILITY WORKERS UNION OF AMERICA COPE","RUFFNER, GARY","815 16TH ST. NW",".","WASHINGTON","DC","20006","U","Q","UNK","M","L","UTILITY WORKERS UNION OF AMERICA (THE",,
"C00040840","NAVISTAR, INC. GOOD GOVERNMENT COMMITTEE","Slavin, Thomas J.","4201 Winfield Road, P.O. Box 1488",,"Warrenville","IL","60555","U","Q","UNK","M","C","Navistar, Inc.",,
"C00040857","OAKLAND COUNTY DEMOCRATIC PARTY","Ashcraft, John","30800 Telegraph Road","Suite 1921","Bingham Farms","MI","48025","U","Y","DEM","M",,"MICHIGAN DEMOCRATIC PARTY",,
"C00040881","OH ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)/OH RURAL ELECTRIC COOPERATIVES INC","DAVID A BERGER","6677 BUSCH BOULEVARD","P O BOX 26036","COLUMBUS","OH","43226","U","Q","UNK","Q","T","OHIO RURAL ELECTRIC COOPERATIVES INC/N",,
"C00040923","METLIFE INC. EMPLOYEES' POLITICAL PARTICIPATION FUND A","Ring, Timothy J.","1095 Avenue of the Americas","Area 4D","New York","NY","10036","U","Q","UNK","M","C","MetLife Inc.",,
"C00040949","BOILERMAKERS BLACKSMITHS FORGERS AND HELPERS OF AMERICA LOCAL 169 BOILERMAKERS PAC","ROBERT HUTSELL","5936 CHASE",,"DEARBORN","MI","48126","U","Q","NNE","Q","L","BOILERMAKERS; INT'L BROTH'D",,
"C00040998","DEALERS ELECTION ACTION COMMITTEE OF THE NATIONAL AUTOMOTIVE DEALERS ASSOCIATION","Myers, H. Carter Mr. III","8400 Westpark Drive",,"McLean","VA","22102","U","Q","UNK","M","T","National Automobile Dealers Associatio",,
"C00041038","AVISTA EMPLOYEES FOR EFFECTIVE GOVERNMENT","Parrish, Susan","P.O. BOX 3727",,"Spokane","WA","99220","U","Q",,"M","C","Avista Employees for Effective Governm",,
"C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","CAPTAIN MICHAEL R WATSON","499 SOUTH CAPITOL STREET SW #409",".","WASHINGTON","DC","20003","U","Q","UNK","M","T","PILOTS' ASSOCIATION INC; AMERICAN",,
"C00041160","MICHIGAN REPUBLICAN PARTY","Meyers, Carl","520 Seymour St.",,"Lansing","MI","48933","U","Y","REP","M",,"Majority Fund 2008",,
"C00041236","STANISLAUS REPUBLICAN CENTRAL COMMITTEE","GARY MCKINSEY","PO Box 941",,"Modesto","CA","95353","U","Y","REP","M",,"None",,
"C00041269","GEORGIA FEDERAL ELECTIONS COMMITTEE","Templeton, Rex","1100 Spring Suite 408",".","Altanta","GA","30309","U","Y","DEM","M",,"Committee for Change",,
"C00041376","CONSTELLATION ENERGY GROUP INC. FEDERAL PAC","Campbell, Lynne","111 Market Street 10th Floor","10th Floor","Baltimore","MD","21202","U","Q","UNK","Q","C","Constellation Energy Group Inc.",,
"C00041566","AMERICAN SOCIETY OF ASSOCIATION EXECUTIVES APAC","Heidi Ellis Robey","1575 I Street NW",,"Washington","DC","20005","U","Q",,"Q","T","American Society of Association Execut",,
"C00041590","ASSOCIATION OF AMERICAN PHYSICIANS AND SURGEONS POLITICAL ACTION COMMITTEE (AAPS-PAC)","R LOWELL CAMPBELL, MD","1601 N TUCSON BOULEVARD SUITE 9",".","TUCSON","AZ","85716","U","Q","UNK","Q","T","PHYSICIANS & SURGEONS; ASS'N OF AMER",,
"C00041608","POTLATCH EMPLOYEES POLITICAL FUND","Cremers, Eric J.","601 West First Avenue","Suite 1600","Spokane","WA","99201","U","Q","UNK","M","C","Potlatch",,
"C00041939","ELECTRICAL WORKERS VOLUNTARY, POL, EDU & LEG FUND IBEW LOCAL UNION NO 1","EGAN, ROBERT J","5850 ELIZABETH AVE",,"ST. LOUIS","MO","63110","U","Q","UNK","Q","L","IBEW LOCAL UNION NO 1",,
"C00041947","ASEA BROWN BOVERI (ABB) POLICY IMPROVEMENT PROGRAM","BRUCE B TALLEY","1455 PENNSYLVANIA AVENUE NW","WILLARD BUILDING SUITE 210","WASHINGTON","DC","20004","U","Q",,"Q","C","ASEA BROWN BOVERI INC",,
"C00041954","CALIFORNIA FARM BUREAU FUND TO PROTECT THE FAMILY FARM (FARM PAC )","Wenger, Paul J.","2300 River Plaza Drive",,"Sacramento","CA","95833","U","Q",,"Q","T","California  Farm Bureau Federation",,
"C00042002","R.J. REYNOLDS POLITICAL ACTION COMMITTEE; REYNOLDS AMERICAN INC.","Albert, Judy P.","P. O. Box 718",".","Winston-Salem","NC","27102","U","Q","UNK","M","C","Reynolds American Inc.",,
"C00042069","MONSANTO COMPANY CITIZENSHIP FUND AKA MONSANTO CITIZENSHIP FUND","Patricia Ward","800 N. Lindbergh Blvd.",,"St. Louis","MO","63167","U","Q","NNE","M","C","Monsanto Company",,
"C00042267","HILLSDALE COUNTY REPUBLICAN COMMITTEE","STEVE VEAR","275 W BACON ST",".","HILLSDALE","MI","49242","U","Y","REP","Q",,"INDIANA REPUBLICAN PARTY",,
"C00042366","DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE","JOHN B. POERSCH JR.","120 MARYLAND AVENUE NE",".","WASHINGTON","DC","20002","U","Y","DEM","M",,"MICHIGAN SENATE 2008",,
"C00042622","MASSACHUSETTS REPUBLICAN STATE CONGRESSIONAL COMMITTEE","Brent Andersen","85 MERRIMAC STREET","SUITE 400","BOSTON","MA","02114","U","Y","REP","M",,"1999 STATE VICTORY FUND COMMITTEE",,
"C00042663","KANSAS CITY LIFE INSURANCE COMPANY EMPLOYEES' POLITICAL ACTION COMMITTEE-FUND II","Tilling, Freda Ms","3520 BROADWAY",,"KANSAS CITY","MO","64111","U","Q",,"Q","C","KANSAS CITY LIFE INSURANCE CO",,
"C00042895","PENNEYPAC - J.C.PENNEY CORP. INC. POLITICAL ACTION COMMITTEE","Weight, Brian H. Mr.","6501 LEGACY DR.",".","PLANO","TX","75024","U","Q",,"M","C","J C PENNEY CO INC",,
"C00042960","AMERICAN FROZEN FOOD INSTITUTE POLITICAL ACTION COMMITTEE (AFFI-PAC)","JASON BASSETT","2000 CORPORATE RIDGE SUITE 1000",".","MCLEAN","VA","22102","U","Q","NNE","Q","T","FOOD INSTITUTE; AMERICAN FROOZEN",,
"C00043059","AMERICAN SHEEP INDUSTRY ASSOCIATION INC RAMS PAC","GLEN FISHER","9785 S MAROON CIRCLE SUITE 360",".","CENTENNIAL","CO","80112","U","Q","UNK","Q","T","AMERICAN SHEEP INDUSTRY ASSOC INC",,
"C00043091","NATIONAL TOOLING & MACHINING ASSOCIATION (NTMA) COMMITTEE FOR A STRONG ECONOMY","RICHARD J MCCLURE","9300 LIVINGSTON ROAD",".","FT WASHINGTON","MD","20749","U","Q",,"M","T","NATIONAL TOOLING & MACHINING ASSOC",,
"C00043265","SUNTRUST BANKS OF TENNESSEE, INC., GOOD GOVERNMENT FUND","Hine, Eugene Mr.","PO Box 305110","8th Floor, Suntrust Center","Nashville","TN","37230","U","Q",,"Q","C","SunTrust Banks of GA, FL, Mid-Atlantic",,
"C00043463","MANUFACTURED HOUSING INSTITUTE PAC","RAE ANN BEVINGTON","2101 WILSON BLVD.","SUITE 610","ARLINGTON","VA","22201","U","Q",,"Q","T","Manufactured Housing Institute PAC",,
"C00043471","CHIROPRACTORS OF NEBRASKA POLITICAL ACTION COMMITTEE (CN-PAC)","DR JEFF FREEMAN","13215 BIRCH DRIVE SUITE 103","PO BOX 155","OMAHA","NE","68164","U","Q",,"Q","T","NEBRASKA CHIROPRACTIC PHYSICIANS ASSOC",,
"C00043489","BANK OF AMERICA CORPORATION STATE AND FEDERAL PAC","Jamison, Wendy Y","1100 North King Street","DE5-001-02-07","Wilmington","DE","19884","U","Q",,"M","C","Bank of America Corporation",,
"C00043687","CHRYSLER SERVICE CONTRACTS INC. POLITICAL SUPPORT CMTE","Brown, Douglas","1000 Chrysler Drive","CIMS #485-10-95","Auburn Hills","MI","48326","U","Q",,"M","C","Chrysler Service Contracts Inc.",,
"C00043919","8TH DISTRICT REPUBLICAN COMMITTEE (VA)","Kozanas, Dena","6623 10th Street","B2","Alexandria","VA","22307","U","Y","REP","Q",,"REPUBLICAN PARTY OF VIRGINIA INC",,
"C00043992","CITIZENS FOR GLOBAL SOLUTIONS POLITICAL ACTION COMMITTEE -- GLOBAL SOLUTIONS PAC","Kraus, Don","c/o Citizens for Global Solutions","418 7th Street SE","Washington","DC","20003","U","Q","UNK","M","T","Citizens for Global Solutions",,
"C00044776","ALABAMA REPUBLICAN PARTY","John Ross","P. O. Box  55628",".","Birmingham","AL","35255","U","Y","R","M",,"Sessions/ALGOP Committee",,
"C00044818","TENNESSEE DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE","Brooks, Stephen Dr.","660 BAKERS BRIDGE AVENUE  #300",,"FRANKLIN","TN","37067","U","Q",,"T","T","Tennessee Dental Association",,
"C00044842","REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA","Poprik, Patricia K.","717 N SECOND STREET","SUITE 900","HARRISBURG","PA","17102","U","Y","REP","M","C","2004 Joint State Victory Committee",,
"C00044990","SOUTH DAKOTA REPUBLICAN PARTY","Paul Knecht","415 S Pierre St",".","Pierre","SD","57501","U","Y","REP","M",,"Thune for Americas Future Committee",,
"C00045781","OUTDOOR ADVERTISING ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE","NANCY FLETCHER","1850 M STREET NW SUITE 1040",".","WASHINGTON","DC","20036","U","Q",,"Q","T","ADVERTISING ASS'N OF AMERICA; OUTDOOR",,
"C00046086","INSTITUTE OF SCRAP RECYCLING INDUSTRIES INC. POLITICAL ACTION COMMITTEE","Wiener, Robin","1615 L ST NW","Suite 600","Washington","DC","20036","U","Q",,"M","T","Institute of Scrap Recycling Industrie",,
"C00046474","FORD MOTOR COMPANY CIVIC ACTION FUND","James Hoeberling","P.O. Box 75000 PAC Svs MC 2250","MC 2250","Detroit","MI","48275","U","Q","UNK","M","C","Ford Motor Company",,
"C00047415","KAISER ALUMINUM POLITICAL ACTION COMMITTEE","DONNAN, JOHN M. Mr. Esq.","27422 Portola Parkway","Suite 350","Foothill Ranch","CA","92610","U","Q",,"M","C","KAISER ALUMINUM",,
"C00047548","KEEP MCDADE IN CONGRESS COMMITTEE","HENRY C. MC GRATH","11TH FLOOR BANK TOWERS","321 SPRUCE STREET","SCRANTON","PA","18503","P","H",,"Q",,,"H6PA10026",
"C00048165","ZACOPAC (ZACHRY CONSTRUCTION CORPORATION)","LOZANO, JOE","527 Logwood",".","San Antonio","TX","78221","U","Q","UNK","Q","C","H B ZACHRY COMPANY",,
"C00048181","WISCONSIN BANKERS ASSOCIATION (WISBANKPAC)","Rufer, Deborah Mrs.","P.O. Box 8880","4721 S. Biltmore Ln.","Madison","WI","53708","U","Q",,"Q","T","AMERICAN BANKERS ASSOCIATION PAC (BANK",,
"C00048371","RONNIE G FLIPPO COMMITTEE","ANDREW P PARKHURST","PO DRAWER B",,"FLORENCE","AL","35631","P","H","DEM","Q",,,"H6AL05038",
"C00048579","SALT RIVER VALLEY WATER USERS' ASSOCIATION POLITICAL INVOLVEMENT COMMITTEE ( SRPPIC)","Nichols, Robert  S.","PO BOX 52025 ISB336",,"PHOENIX","AZ","85072","U","Q",,"M","C","SALT RIVER VALLEY WATER USERS' ASS'N",,
"C00048702","NATIONAL GRID USA POLITICAL ACTION COMMITTEE","MESSURI, MARI-LOUISE","25 Research Drive",,"Westborough","MA","01582","U","Q",,"M","C","KEYSPAN CORPORATION POLITICAL ACTION C",,
"C00049056","KANEB SERVICES CONCERNED CITIZENS FUND","WILLIAM H KETTLER JR","2435 N CENTRAL EXPRESSWAY ST 700",,"RICHARDSON","TX","75080","U","Q",,"Q","C","KANEB SERVICES INC",,
"C00051227","CONGRESSMAN BILL YOUNG CAMPAIGN COMMITTEE","Patterson, George L.","P. O. Box 47025",,"St. Petersburg","FL","33743","P","H","REP","Q",,,"H6FL06035",
"C00051979","NISOURCE INC. PAC","Timothy J. Tokish Jr.","200 Civic Center Drive",,"Columbus","OH","43215","U","Q","NNE","M","C","NiSource Inc.",,
"C00053553","NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND","Adkins, Mary Rose","11250 Waples Mill Road",,"Fairfax","VA","22030","U","Q","UNK","M","T","The National Rifle Association of Amer",,
"C00053751","FRIENDS OF BOB LIVINGSTON PAC","ALLEN MARTIN","228 S WASHINGTON ST STE 115",".","ALEXANDRIA","VA","22314","U","Q","UNK","T",,,,
"C00055582","NEW YORK REPUBLICAN FEDERAL CAMPAIGN COMMITTEE","Michael A. Avella","315 State Street",".","Albany","NY","12210","U","Y","REP","M",,"NEW YORK SALUTE 2000",,
"C00056523","IDAHO BANKERS POLITICAL ACTION COMMITTEE","DAWN JUSTICE","512 WEST BANNOCK","SUITE B","BOISE","ID","83701","U","Q","UNK","Q","T","BANKERS ASS'N; AMERICAN",,
"C00056564","TATE AND LYLE PAC OF TATE AND LYLE INGREDIENTS AMERICAS INC","WILLIAM C OLSEN","2200 EAST ELDORADO STREET",".","DECATUR","IL","62521","U","Q",,"Q","C","TATE & LYLE INGREDIENTS AMERICAS INC",,
"C00059238","KROGER POLITICAL ACTION COMMITTEE","Ausdenmoore, Janet","1014 Vine Street",".","Cincinnati","OH","45202","U","Q","NNE","Q","C","KROGER CO",,
"C00059329","INTERNATIONAL ASSOCIATION OF DRILLING CONTRACTORS POLITICAL ACTION COMMITTEE","HUNT, A LEE Dr. Jr.","PO BOX 4287","10370 Richmond Ave. Suite 760","HOUSTON","TX","77210","U","Q","UNK","Q","T","INTERNATIONAL ASSOCIATION OF DRILLING",,
"C00059733","BROWN-FORMAN CORPORATION NON-PARTISAN COMMITTEE FOR RESPONSIBLE GOVERNMENT","LARRY W PERRY","850 DIXIE HIGHWAY",,"LOUISVILLE","KY","40210","U","Q","UNK","Q","C","BROWN-FORMAN CORPORATION",,
"C00059832","AUCTION MARKETS POLITICAL ACTION COMMITTEE OF THE CHICAGO BOARD OF TRADE","Johnson, Glen M. Mr","1455 Pennsylvania Avenue N.W.","SUITE 1225","Washington","DC","20004","U","Q","UNK","T","C","CME/PAC Chicago Mercantile Exchange In",,
"C00059907","SOUTH CAROLINA CREDIT UNION LEAGUE, INC. CREDIT UNION DEFENSE FUND","Gardner, Mary Ms.","7440 Broad River Road","PO Box 1787","Irmo","SC","29063","U","Q","UNK","Q","T","S C Credit Union League",,
"C00060103","BP CORPORATION NORTH AMERICA INC. POLITICAL ACTION COMMITTEE","Bruce C. Johnson","501 Westlake Park Blvd","Mail Code 5N","Houston","TX","77079","U","Q","UNK","M","C","BP Corporation North America Inc",,
"C00060582","DC FRIENDS OF ""BILL CLAY""","WILLIAM L CLAY SR","14917 CLAUDE LANE",,"SILVER SPRING","MD","20905","A","H","DEM","T",,,"H6MO01022",
"C00060707","NATIONAL ASSOC OF SOCIAL WORKERS, INC POLITICAL ACTION FOR CANDIDATE ELECTION (PACE)","O'Connor, Roderick F","750 FIRST ST, NE","SUITE 700","WASHINGTON","DC","20002","U","Q","NNE","M","T","National Association of Social Workers",,
"C00062224","CLOROX COMPANY EMPLOYEES' POLITICAL ACTION COMMITTEE,THE","VICTORIA JONES","1221 BROADWAY",,"OAKLAND","CA","94612","U","Q","UNK","Q","C","THE CLOROX COMPANY",,
"C00062646","GENERAL MILLS POLITICAL ACTION COMMITTEE","John Pugh","#1 General Mills Boulevard",".","Minneapolis","MN","55426","U","Q","UNK","Q","C","GENERAL MILLS INC",,
"C00062836","KENTUCKY BANKERS POLITICAL ACTION COMMITTEE","Vance, Matt","325 West Main Street","Waterfront Plaza Suite 1000","Louisville","KY","40202","U","Q","UNK","Q","T","BANKERS ASS'N; AMERICAN",,
"C00063024","SERVICE STATION DEALERS OF AMERICA, INC., SSDA-PAC (FORMERLY NCPR-PAC)","BILLY HILLMUTH","1532 POINTER RIDGE PLACE, SUITE E",".","BOWIE","MD","20716","U","Q","DEM","Q","T","SERVICE STATION DEALERS OF AMERICA INC",,
"C00063164","MCDONALDS CORPORATION POLITICAL ACTION COMMITTEE","Donovan, Robert","ONE MCDONALDS PLAZA",,"OAK BROOK","IL","60523","U","Q","UNK","M","C","McDonalds Corporation",,
"C00063461","BABCOCK  AND WILCOX COMPANY GOOD GOVERNMENT FUND ;THE","DAVID S BLACK","2016 Mt. Athos Rd",,"Lynchburg","VA","24504","U","Q","UNK","T","C","BETTER GOV FUND OF MCDERMOTT INCORP",,
"C00063586","UNITED STATES BEET SUGAR ASSOCIATION POLITICAL ACTION COMMITTEE","JAMES JOHNSON","1156 15TH STREET NW SUITE 1019",,"WASHINGTON","DC","20005","U","Q",,"Q","T","BEET SUGAR ASS'N; UNITED STATES",,
"C00064097","FEDERAL CREDIT UNION LEGISLATIVE ACTION FUND (FEDERAL CULAF) (FKA WASHINGTON CREDIT UNION)","MARK MINIKELLO","33301 9TH AVENUE SOUTH SUITE 200",,"FEDERAL WAY","WA","98003","U","Q",,"Q","M","CREDIT UNION LEGISLATIVE ACTION CMTY",,
